frame, face_id, timestamp, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,0,0,-0.008,0.413,0.112,1.55,0,0.41,0,0.08,0,0.56,0.19,0,0.35,0,2.11,0.44,0,0,0,0.74,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
2,0,0.033,-0.018,0.399,0.124,1.58,0,0.36,0,0.03,0,0.55,0.19,0,0.36,0,2.03,0.41,0,0,0,0.57,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
3,0,0.067,-0.02,0.397,0.133,1.55,0,0.34,0,0.01,0,0.52,0.22,0,0.36,0,1.99,0.33,0.07,0,0,0.56,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
4,0,0.1,-0.026,0.396,0.144,1.42,0,0.37,0,0,0,0.53,0.2,0,0.28,0,2.05,0.3,0.16,0,0,0.5,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
5,0,0.133,-0.031,0.397,0.155,1.24,0,0.39,0,0,0,0.54,0.2,0,0.3,0,2.05,0.23,0.3,0,0,0.37,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
6,0,0.167,-0.044,0.396,0.166,1.1,0,0.41,0,0,0,0.62,0.25,0,0.25,0,2.11,0.32,0.38,0,0,0.13,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
7,0,0.2,-0.049,0.394,0.173,1.03,0,0.41,0,0,0,0.66,0.34,0,0.27,0,2.16,0.31,0.44,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
8,0,0.234,-0.049,0.395,0.175,1,0,0.41,0,0,0,0.73,0.41,0,0.15,0,2.17,0.3,0.47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
9,0,0.267,-0.052,0.393,0.177,0.95,0,0.4,0,0,0,0.74,0.37,0,0.13,0,2.14,0.18,0.51,0,0,0.03,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
10,0,0.3,-0.053,0.394,0.178,0.91,0,0.36,0,0,0,0.72,0.39,0,0.13,0,2.09,0.12,0.57,0,0,0.03,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
11,0,0.334,-0.053,0.391,0.177,0.89,0,0.34,0,0,0,0.68,0.4,0,0.13,0,2.04,0.19,0.6,0,0.06,0.06,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
12,0,0.367,-0.053,0.39,0.176,0.91,0,0.3,0,0,0,0.64,0.45,0,0.14,0,2.03,0.25,0.61,0,0.06,0.06,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
13,0,0.4,-0.054,0.391,0.177,0.89,0,0.3,0,0,0,0.67,0.45,0,0.08,0,2.01,0.24,0.6,0,0.06,0.1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
14,0,0.434,-0.055,0.391,0.178,0.88,0,0.24,0,0,0,0.69,0.46,0,0.05,0,1.99,0.14,0.61,0,0,0.07,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
15,0,0.467,-0.055,0.391,0.177,0.89,0,0.21,0,0,0,0.73,0.42,0,0.02,0,2,0.1,0.63,0,0,0.11,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
16,0,0.501,-0.052,0.39,0.177,0.91,0,0.21,0,0,0,0.72,0.4,0,0.06,0,2.02,0.14,0.64,0,0,0.13,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
17,0,0.534,-0.052,0.391,0.177,0.92,0,0.28,0,0,0,0.72,0.36,0,0.08,0,2.05,0.23,0.63,0,0,0.18,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
18,0,0.567,-0.055,0.391,0.177,0.95,0,0.36,0,0,0,0.73,0.38,0,0.14,0,2.07,0.18,0.59,0,0,0.17,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
19,0,0.601,-0.056,0.392,0.178,0.98,0,0.38,0,0,0,0.71,0.39,0,0.17,0,2.07,0.15,0.55,0,0.01,0.16,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
20,0,0.634,-0.054,0.395,0.178,1.01,0,0.37,0,0,0,0.69,0.41,0,0.18,0,2.06,0.14,0.53,0,0.01,0.16,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
21,0,0.667,-0.055,0.394,0.178,1.01,0,0.39,0,0,0,0.66,0.41,0,0.15,0,2.08,0.25,0.52,0,0.07,0.13,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
22,0,0.701,-0.056,0.394,0.178,1.03,0,0.42,0,0,0,0.69,0.42,0,0.11,0,2.06,0.29,0.51,0,0.06,0.14,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
23,0,0.734,-0.055,0.394,0.177,1,0,0.44,0,0,0,0.7,0.41,0,0.08,0,2.09,0.28,0.51,0,0.09,0.07,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
24,0,0.767,-0.058,0.393,0.178,0.98,0,0.41,0,0,0,0.72,0.37,0,0.05,0,2.06,0.2,0.51,0,0.05,0.08,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
25,0,0.801,-0.058,0.392,0.178,0.97,0,0.35,0,0,0,0.72,0.31,0,0.02,0,2.09,0.17,0.55,0,0.05,0.06,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
26,0,0.834,-0.059,0.394,0.179,0.96,0,0.3,0,0,0,0.76,0.27,0,0.02,0,2.06,0.16,0.58,0,0.02,0.06,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
27,0,0.868,-0.058,0.393,0.178,0.99,0,0.24,0,0,0,0.78,0.26,0,0.06,0,2.04,0.19,0.59,0,0,0.03,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
28,0,0.901,-0.059,0.39,0.177,1.04,0,0.27,0,0,0,0.77,0.26,0,0.05,0,2.05,0.22,0.55,0,0,0.07,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
29,0,0.934,-0.058,0.395,0.177,1.11,0,0.29,0,0,0,0.77,0.25,0,0.06,0,2.07,0.23,0.54,0,0,0.09,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
